,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
0,Residential Improved,Disposed,"423 N Oakley Ave,Kansas City, MO 64123-1445",North Indian Mound,"423 N Oakley Ave,Kansas City, MO 64123-1445,(39.116852, -94.516114),geocode,(39.11684760000001, -94.5158182)",39.1168476,-94.5158182,2015,39.116852,-94.516114,90,"{2007: 'SpWKkHgMG6lzFup4ZJchkQ', 2011: 'gnuNPEQDThsWO0P-v5lHZA', 2014: 'ig4UVIWzuaNIFiGOxW759w', 2019: 'mXSipbWS4XOlfzDZFHrUXQ'}"
1,Residential Improved,Disposed,"3638 Monroe Ave.,KANSAS CITY, MO 64128.0",Palestine West And Oak Park Northeast,"3638 Monroe Ave.,KANSAS CITY, MO 64128.0,(39.058893, -94.540686),geocode,(39.0589063, -94.5409481)",39.0589063,-94.5409481,2017,39.058893,-94.540686,90,"{2007: 'ZyADqNs5A-tDc3K6ECxwSA', 2011: 'NHuC02D3tgWwMzZ9QlVh7w', 2014: 'UXbjtvRWsheYCTA6M0GJlA', 2019: 'H2HLzmW5Oj--GTBroT7nxg'}"
2,Residential Improved,Disposed,"3833 Chestnut Ave,Kansas City, MO 64128",Oak Park Northwest,"3833 Chestnut Ave,Kansas City, MO 64128,(39.055912, -94.551254),geocode,(39.0558845, -94.5510093)",39.0558845,-94.5510093,2013,39.055912,-94.551254,90,"{2011: 'jL7TUmOChlfIjeA4juetNw', 2019: 'G5FfA_CXSGgjGZvnJzxcsA'}"
3,Residential Improved,Disposed,"3314 College Ave,Kansas City, MO 64128",Oak Park Northwest,"3314 College Ave,Kansas City, MO 64128,(39.065389, -94.544992),geocode,(39.0653988, -94.54529869999999)",39.0653988,-94.5452987,2013,39.065389,-94.544992,90,"{2007: 'Lv4tBb_snE0LeJLRuYwRbQ', 2011: 'JLtfYvWfyP_t5TQAsSWdag', 2014: 'FuNfeeakK1NxXMuPEqtpZw', 2019: 'SAqXk7jLRoIdzy2hnayw4w'}"
4,Residential Improved,Disposed,"3628  AGNES AVE,Kansas City, MO 64128",Oak Park Northwest,"3628  AGNES AVE,Kansas City, MO 64128,(39.059465, -94.548765),geocode,(39.0594745, -94.5490554)",39.0594745,-94.5490554,2014,39.059465,-94.548765,90,"{2007: 'J78dtjVjXFzFwmQzWLtRfQ', 2011: 'sM_L7o4g62nJ1dWbEvFq6Q', 2014: '1p7FtguUqjV_ZLDI0ShuRQ', 2019: 'usO9r6nQZvxiX8zvxGkm5A'}"
5,Residential Improved,Disposed,"2816 OLIVE ST,KANSAS CITY, MO 64109",Key Coalition,"2816 OLIVE ST,KANSAS CITY, MO 64109,(39.074578, -94.55492),geocode,(39.0746416, -94.5551291)",39.0746416,-94.5551291,2016,39.074578,-94.55492,90,"{2007: 'gyCkmT9lYLlyExiEh61qJQ', 2011: 'BrQBFj_AwEM9ojp_MhghSA', 2014: 'YKXNOflpl1diTGAe-J7AcQ', 2015: 'QNRxNuO25kxYYbFS9mAJNQ', 2019: 'US3eaORe4w9QTiJ9euY9bQ'}"
6,Residential Improved,Disposed,"3601 Brooklyn Ave,Kansas City, MO 64109-2863",Ivanhoe Northeast,"3601 Brooklyn Ave,Kansas City, MO 64109-2863,(39.060923, -94.557933),geocode,(39.0608567, -94.5576272)",39.0608567,-94.5576272,2015,39.060923,-94.557933,90,"{2011: 'qBSIgpUUqsLvTsyYUq5_Sw', 2019: 'bu56hrPjXWTLu3ESMRDVQg'}"
7,Residential Improved,Disposed,"2814 Spruce Ave,Kansas City, MO 64128",East Community Team South,"2814 Spruce Ave,Kansas City, MO 64128,(39.074115, -94.533329),geocode,(39.0740893, -94.53356699999999)",39.0740893,-94.533567,2013,39.074115,-94.533329,90,"{2007: 'WNWwW4xd8ZCifbDxkXdMwA', 2011: '_M_XlCV9RBXu4RnIF2XN5w', 2014: '6TwBAxXoFZvK5Yl462qh9Q', 2019: 'TQaqf5c4AYirGOXA6BDVdA'}"
8,Residential Improved,Disposed,"3016 E 26th St,Kansas City, MO 64127",Washington Wheatley,"3016 E 26th St,Kansas City, MO 64127,(39.078727, -94.54689),geocode,(39.0789056, -94.54678919999999)",39.0789056,-94.5467892,2013,39.078727,-94.54689,0,"{2007: 'GUKcQaJ2hnSdXLrHgMBqKQ', 2011: 'qP0folh-MW4Cw7L586MxcA', 2019: 'tsmUCFWjbHHyTGBKBc4bFQ'}"
9,Residential Improved,Disposed,"2626 TRACY AVE,Kansas City, MO 64108",Beacon Hills,"2626 TRACY AVE,Kansas City, MO 64108,(39.07835, -94.568273),geocode,(39.0783395, -94.5685883)",39.0783395,-94.5685883,2014,39.07835,-94.568273,90,"{2007: '0hFrKaFWDRne1LBf315O2w', 2011: 'kmLvK0g9Ua4SKpWrHd1n8A', 2019: '5RbYmp1VkY0A9_8rJZVhBQ'}"
10,Residential Improved,Disposed,"501 W 86TH TER,Kansas City, MO 64114.0",Western Hills,"501 W 86TH TER,Kansas City, MO 64114.0,(38.971789, -94.596901),geocode,(38.9724978, -94.59684759999999)",38.9724978,-94.5968476,2015,38.971789,-94.596901,0,"{2007: '8YzR5mI4twjP26k5XL_Q1Q', 2011: 'gBzrS7a-aqcM9DE8LNKhAA', 2014: '8X-v-AiWfZUpzzLp8sPsrg', 2019: 'YZkR379L0BfOengzsCi0Ug'}"
11,Residential Improved,Disposed,"3710  INDIANA AVE,Kansas City, MO 64128",Oak Park Northwest,"3710  INDIANA AVE,Kansas City, MO 64128,(39.058294, -94.54421),geocode,(39.058281, -94.544493)",39.058281,-94.544493,2014,39.058294,-94.54421,90,"{2007: 'OBYomTUUZ_ZRxDJfM1jcgg', 2011: '6WYOtWYS57WXz5E7Ph5VJg', 2014: '3j_hA8nJPag8br9whwiUwQ', 2019: '4SduOimirNs0p4uzERlk6Q', 2021: 'JVLgvjuEXbMb76tgxbqwmA'}"
12,Residential Improved,Disposed,"4120  BENTON BLVD,Kansas City, MO 64130",Oak Park Southwest,"4120  BENTON BLVD,Kansas City, MO 64130,(39.050942, -94.546939),geocode,(39.050869, -94.54701999999999)",39.050869,-94.54702,2014,39.050942,-94.546939,90,"{2007: '85VfK38m9H8ivSktRP-unw', 2011: 'iPSIQFu9NUMIkgJ-WT4hLg', 2018: 'R5npFkrVXk5A-IwYJTNpWw', 2019: 'yogNQ-Pk_E9XJCBHe6usLw', 2021: 'qy2YPWBR5B3bGMCE4F19ZA'}"
13,Residential Improved,Disposed,"4617 Lawn Ave,Kansas City, MO 64130",Vineyard,"4617 Lawn Ave,Kansas City, MO 64130,(39.041258, -94.530084),geocode,(39.0412583, -94.5298315)",39.0412583,-94.5298315,2013,39.041258,-94.530084,90,{2011: 'GCSCBFcXwgk8GqNPj8uzag'}
14,Residential Improved,Disposed,"4119 Tracy,Kansas City, MO 64110",Manheim Park,"4119 Tracy,Kansas City, MO 64110,(39.05169, -94.569869),geocode,(39.0517319, -94.5697168)",39.0517319,-94.5697168,2014,39.05169,-94.569869,90,"{2007: 'DRfLRPTqNhvWyiJeYHzgJQ', 2011: 'he2y5L1_wwB6wD4qvaCSbw', 2019: 'KyT1FUEVsp9JS54kiFJD7g'}"
15,Residential Improved,Reserved,"440 N WHEELING AVE,KANSAS CITY, MO 64123",North Indian Mound,"440 N WHEELING AVE,KANSAS CITY, MO 64123,(39.117216, -94.510298),geocode,(39.1172438, -94.5105541)",39.1172438,-94.5105541,2016,39.117216,-94.510298,90,{2019: 'culKoF5Aj62kG70uqlS9PA'}
16,Residential Improved,Disposed,"3426 Bales Ave,Kansas City, MO 64128",Palestine West And Oak Park Northeast,"3426 Bales Ave,Kansas City, MO 64128,(39.063138, -94.542854),geocode,(39.0631291, -94.543083)",39.0631291,-94.543083,2013,39.063138,-94.542854,90,"{2007: 'Kq1N6DF2sy7khwWNkuXJMA', 2011: 'f8zv99XRQ-VIw7zi0Yojng', 2014: 'Jy4GevsMdqXoqAxTnifPtw', 2019: 'oona8tWyptO5QhzpNtMhOQ'}"
17,Residential Improved,Disposed,"5104 E 39TH ST,KANSAS CITY, MO 64128",Knoches Park,"5104 E 39TH ST,KANSAS CITY, MO 64128,(39.055072, -94.524288),geocode,(39.0552844, -94.5243546)",39.0552844,-94.5243546,2013,39.055072,-94.524288,180,"{2008: 'uj2qcgf5KpkKjh0IevKc3g', 2009: 'A0lgZcLs4p-MP0aW6igYbQ', 2011: 'PQr3HK5zq3-4r8JW-ZPw3w', 2013: '8SW5wl9_ruWfYiotwDKztQ', 2014: 'Qc3nAUVyHEqiEGMHp-7TIg', 2016: '0rgLOGaXLSjJ3Bq_yDrRzA', 2017: '9RnNtPLzUtn_DHlfo8je8w', 2019: 'LtTeB_jlg7qkSmLG0ickdA'}"
18,Residential Improved,Disposed,"5209 HIGHLAND AVE,Kansas City, MO 64110.0",Blue Hills,"5209 HIGHLAND AVE,Kansas City, MO 64110.0,(39.032019, -94.565363),geocode,(39.0320147, -94.5650519)",39.0320147,-94.5650519,2015,39.032019,-94.565363,90,"{2007: '71Q3V_PRaGSDXMp5kffnkw', 2011: 'sjsjekz_Y0JKgVn15roWsA', 2014: 'wL1SiwNihxHVnxYCLDh8aA', 2019: 'TOGepMtuOhOBKv6Lyil_yA'}"
